Product_Code,Product_Name,Category,Target_Segment,Interest_Rate_Range,Processing_Fee,Max_LTV_Percent,Max_Tenure_Years,Min_Loan_Lakhs,Max_Loan_Lakhs,Eligibility,USP,Launch_Date
HL-NRI-USA,Home Loan - NRI (USA),Home Loan,NRIs in United States,8.60% - 9.30%,0.75% of loan amount,75%,20,25,1500,Valid US visa/Green Card. NRE/NRO account. US tax returns.,US tax return based assessment. Weekend video calls.,2023-04-01
HL-NRI-ME,Home Loan - NRI (Middle East),Home Loan,NRIs in GCC Countries,8.70% - 9.40%,0.75% of loan amount,75%,20,20,1000,Valid employment visa. NRE/NRO account. Employer letter.,Arabic document translation support. Embassy tie-up.,2023-04-01
HL-NRI-UK,Home Loan - NRI (UK/Europe),Home Loan,NRIs in UK and Europe,8.65% - 9.35%,0.75% of loan amount,75%,20,25,1200,Valid UK/EU work permit. NRE/NRO account. P60/tax docs.,GBP/EUR income assessment. London desk support.,2023-04-01
HL-NRI-SEA,Home Loan - NRI (SE Asia),Home Loan,NRIs in Singapore/Malaysia/HK,8.70% - 9.45%,0.75% of loan amount,75%,20,20,1000,Valid employment pass. NRE/NRO account. Tax filing proof.,SGD/MYR income conversion. Asia desk support.,2023-07-01
HL-PMAY-EWS,PMAY Home Loan - EWS,Home Loan,Economically Weaker Section,6.50% - 7.50%,Nil,90%,20,3,25,Annual income up to 3L. First-time buyer. No pucca house.,6.50% subsidy. Max NPV 2.67L. Zero fees.,2020-01-01
HL-PMAY-LIG,PMAY Home Loan - LIG,Home Loan,Lower Income Group,6.50% - 7.75%,Nil,90%,20,3,40,Annual income 3L-6L. First-time buyer. Carpet area up to 60 sqm.,6.50% subsidy. Max NPV 2.67L. Zero fees.,2020-01-01
HL-PMAY-MIG1,PMAY Home Loan - MIG-I,Home Loan,Middle Income Group I,7.50% - 8.50%,Nil,85%,20,5,75,Annual income 6L-12L. First-time buyer. Carpet area up to 160 sqm.,4.00% subsidy on 9L. Max NPV 2.35L. Zero fees.,2020-01-01
HL-PMAY-MIG2,PMAY Home Loan - MIG-II,Home Loan,Middle Income Group II,7.75% - 8.75%,Nil,80%,20,10,100,Annual income 12L-18L. First-time buyer. Carpet area up to 200 sqm.,3.00% subsidy on 12L. Max NPV 2.30L. Zero fees.,2020-01-01
HL-RUR,Rural Housing Loan,Home Loan,Rural / Semi-Urban Customers,8.50% - 9.25%,Nil,85%,20,2,30,Residence in rural/semi-urban area. Agri or non-agri income.,Gram Panchayat property accepted. Flexible income proof.,2022-09-01
HL-DEF,Home Loan - Defence / Govt Employee Special,Home Loan,Defence Personnel / Government Employees,8.25% - 8.65%,Nil,85%,30,5,400,Central/State govt employee or defence. Service certificate.,Lowest rate. No processing fee. Posting transfer support.,2021-03-01
HL-WOM,Home Loan - Women Special,Home Loan,Women Borrowers / Co-borrowers,8.30% - 8.70%,0.25% of loan amount,85%,30,5,500,Woman as primary or co-borrower. Standard eligibility.,0.10% rate concession. Higher LTV. Priority processing.,2022-03-08
HL-SRM,Senior Citizen Reverse Mortgage,Home Loan,Senior Citizens (60+),Variable - linked to repo,Nil,60% of property value,15 (payment period),NA,NA,Age 60+. Self-owned residential property. No outstanding loan.,Monthly income from home equity. No EMI to pay.,2023-10-01
LAP-IND,Loan Against Property - Industrial,LAP,Manufacturers / Industrialists,10.00% - 11.25%,1.25% of loan amount,50%,12,25,3000,Industrial property with valid license. Pollution clearance.,Highest LTV for industrial. Working capital support.,2021-06-01
LAP-FD,Loan Against Fixed Deposit,LAP,FD Holders,FD Rate + 1.00%,Nil,90% of FD value,FD Tenure,1,FD Value,HDFC FD with min 1yr remaining tenure. No lien on FD.,Same-day disbursal. No income proof needed.,2020-01-01
LAP-SEC,Loan Against Securities,LAP,Investors / HNIs,9.00% - 10.00%,0.50% of loan amount,50% (equity) / 80% (debt MF),10,5,2000,Demat portfolio. Min 5L market value. Approved securities list.,No property docs. Quick digital process. Top-up facility.,2022-04-01
BT-PSU,Balance Transfer - From PSU Banks,Balance Transfer,Existing PSU bank borrowers,8.30% - 8.90%,0.25% of loan amount,80%,30,10,500,Min 12 EMIs paid at PSU bank. CIBIL 700+. Clean repayment.,Rate savings 0.5%-1.5%. Free property valuation.,2023-01-01
BT-PVT,Balance Transfer - From Private Banks,Balance Transfer,Existing private bank borrowers,8.35% - 9.00%,0.25% of loan amount,80%,30,10,500,Min 12 EMIs paid. CIBIL 720+. Current loan outstanding >10L.,Competitive rate match. Top-up at same rate.,2023-01-01
BT-HFC,Balance Transfer - From HFCs,Balance Transfer,Existing HFC borrowers,8.35% - 9.10%,0.20% of loan amount,80%,30,10,500,Min 18 EMIs paid at HFC. CIBIL 700+. No bounced EMI.,Significant rate reduction (1-3%). Faster TAT.,2023-03-01
BT-NBFC,Balance Transfer - From NBFCs,Balance Transfer,Existing NBFC borrowers,8.40% - 9.15%,0.20% of loan amount,80%,30,10,400,Min 18 EMIs paid at NBFC. CIBIL 700+. Clean track record.,Largest rate savings (2-4%). Trust of HDFC brand.,2023-03-01
TU-STD,Top-Up Loan - Standard,Top-Up,Existing HDFC HL customers,8.60% - 9.25%,0.25% of loan amount,80% (combined),15,5,200,Existing HDFC customer. 12+ EMIs paid on time.,No additional property docs. 5-day processing.,2021-07-01
TU-EXP,Top-Up Loan - Express (48hr),Top-Up,Existing HDFC HL customers (24+ EMIs),8.75% - 9.40%,0.35% of loan amount,75% (combined),10,5,100,Existing HDFC customer. 24+ EMIs paid. CIBIL 730+.,Guaranteed 48-hour disbursal. Minimal documentation.,2023-06-01
TU-DIG,Top-Up Loan - Digital,Top-Up,Existing HDFC HL customers (digital),8.55% - 9.15%,Nil,75% (combined),10,2,75,Pre-approved digital offer. 18+ EMIs paid. Active app user.,100% digital. Zero paperwork. Same-day credit.,2024-01-15
HL-PLOT,Plot Purchase + Construction Loan,Home Loan,All Segments,8.75% - 9.50%,0.50% of loan amount,70%,25,10,300,Approved layout/colony. Construction to start within 12 months.,Combined single loan for plot + construction. Tranche disbursal.,2021-09-01
HL-CON,Construction Only Loan,Home Loan,Plot Owners,8.70% - 9.45%,0.50% of loan amount,75% of construction cost,20,5,250,Owned plot with clear title. Approved building plan.,Stage-wise disbursal. No pre-EMI on undisbursed amount.,2021-09-01
HL-EXT,Extension / Renovation Loan,Home Loan,Existing Property Owners,8.80% - 9.50%,0.40% of loan amount,70% of renovation cost,15,3,100,Self-owned property. Approved renovation plan. Min 3yr ownership.,Covers interiors + structural. Stage-wise disbursal.,2022-06-15
HL-GREEN,Green Home Loan,Home Loan,Eco-Conscious Buyers,8.20% - 8.65%,0.25% of loan amount,85%,30,10,500,IGBC/GRIHA rated property OR solar/EV-ready home. Standard eligibility.,Lowest rate. 0.15% green concession. ESG aligned.,2024-04-01
HL-COLEND-SBI,Co-Lending Home Loan (SBI Partner),Home Loan,Salaried / SE in Tier 2-3 cities,8.30% - 8.85%,0.35% of loan amount,80%,25,5,200,Standard HDFC eligibility. Property in co-lending geographies.,Ultra-competitive rate. Blended HDFC + SBI pricing.,2024-03-01
HL-COLEND-BOB,Co-Lending Home Loan (BOB Partner),Home Loan,Salaried / SE in Tier 2-3 cities,8.35% - 8.90%,0.35% of loan amount,80%,25,5,200,Standard HDFC eligibility. Property in co-lending geographies.,Low-cost funding. Digital journey. Quick sanction.,2024-06-01
HL-FEST,Home Loan - Festive Special,Home Loan,All Segments,8.25% - 8.75%,Nil,85%,30,5,500,Standard HL eligibility. Application during festive window.,Zero processing fee. Additional 0.10% concession. Limited period.,2024-10-01
HL-DIGI,Home Loan - Digital Express,Home Loan,Salaried (Pre-approved),8.35% - 8.80%,Nil,80%,30,10,300,Pre-qualified via HDFC app. CIBIL 750+. AA consent given.,Paperless 72-hr sanction. E-sign enabled. AA-based income.,2024-07-01
LAP-OD,LAP with Overdraft Facility,LAP,Business Owners / Professionals,9.75% - 10.75%,1.00% of loan amount,55%,15,15,1500,Clear title property. Business vintage 3yr+. GST returns 2yr.,Pay interest only on utilization. Flexible drawdown.,2022-01-01
LAP-SE-P,LAP - Self-Employed Professional,LAP,Doctors / CAs / Architects,9.25% - 10.25%,0.75% of loan amount,65%,15,10,750,Professional qualification. Practice 2yr+. Residential property.,Higher LTV for professionals. Multi-purpose usage.,2023-01-15
BT-NRI,Balance Transfer - NRI,Balance Transfer,NRIs with existing loans at other lenders,8.60% - 9.30%,0.50% of loan amount,75%,20,25,1000,NRI with existing HL at other lender. 12+ EMIs paid. FEMA compliant.,End-to-end digital BT. NRE/NRO account support.,2024-01-01
HL-MICRO,Micro Home Loan,Home Loan,Low-Income Urban Workers,9.00% - 9.75%,Nil,90%,15,1,10,Monthly income 10K+. Employer letter or trade license. Urban property.,Smallest ticket home loan. Doorstep KYC. Cash flow assessment.,2023-06-01
HL-STEP,Step-Up EMI Home Loan,Home Loan,Young Professionals (Age 23-30),8.45% - 9.10%,0.50% of loan amount,80%,30,5,400,Age 23-30. Salaried. Min income 30K. CIBIL 700+.,Start with low EMI; increases 10% every 3 years. Higher eligibility.,2024-01-01
HL-FLEXI,Flexi Home Loan,Home Loan,Salaried / SE with variable income,8.55% - 9.20%,0.50% of loan amount,80%,25,10,500,Standard HL eligibility. Min 6 months salary credit in HDFC CASA.,Pay extra when surplus. Withdraw excess when needed. OD-like feature.,2024-04-15
HL-CORP,Corporate Tie-Up Home Loan,Home Loan,Employees of Partner Corporates,8.20% - 8.60%,Nil,85%,30,5,500,Employee of HDFC-empaneled company. HR confirmation letter.,Best rate guarantee. Zero fees. Salary deduction EMI.,2021-01-01
