Agency_Name,Region,Accounts_Assigned,Accounts_Resolved,Resolution_Rate_Percent,Amount_Assigned_Cr,Amount_Recovered_Cr,Recovery_Rate_Percent,Avg_Resolution_Days,Escalation_Count,CSAT_Compliance,Rating,Contract_Expiry,Remarks
TrustRecover,East - Kolkata,60,34,56.7,7.4,3.8,51.4,36,11,Partial,B,2025-03-31,Q4 FY25 performance. New team lead appointed. Slight improvement visible.
Stellar Collections,South - Bangalore,85,52,61.2,10.8,6.2,57.4,30,8,Yes,B+,2025-06-30,Q4 FY25 performance. Benefited from IT hiring uptick. More borrowers resuming payments.
QuickResolve,South - Hyderabad,78,52,66.7,9.6,6.4,66.7,24,4,Yes,A,2025-09-30,Q4 FY25 performance. Best in South region. Pharma sector recovery aiding collections.
Guardian Collections,Central - Bhopal,48,28,58.3,5.4,2.9,53.7,34,8,Partial,B,2025-06-30,Q4 FY25 performance. Modest improvement. Need to expand field force in tier-3 cities.
ProActive Recovery,West - Ahmedabad,64,40,62.5,8.2,5.0,61.0,29,6,Yes,B+,2025-06-30,Q4 FY25 performance. Diamond and textile sector recovery seasonal. Expected improvement Q1.
Zenith Recovery,South - Kochi,58,38,65.5,7.0,4.6,65.7,26,5,Yes,A,2025-09-30,Q4 FY25 performance. Gulf remittance cases showing improvement. NRI coordination effective.
PrimeCollect,Central - Indore,50,30,60.0,5.6,3.3,58.9,30,6,Yes,B+,2025-06-30,Q4 FY25 performance. Expanding to Raipur. Consistent trajectory.
MaxRecovery,North - Lucknow,68,40,58.8,8.4,4.6,54.8,33,11,Partial,B,2025-03-31,Q4 FY25 performance. Showing improvement after probation. Still under monitoring.
EastWing Collections,East - Patna,40,20,50.0,4.5,2.0,44.4,42,14,No,Under Review,2025-01-31,Q4 FY25 performance. Termination proceedings initiated. Transition plan for Bihar accounts.
Apex Associates,South - Chennai,92,56,60.9,11.0,6.2,56.4,31,9,Yes,B+,2025-06-30,Q4 FY25 performance. New management stabilizing. CSAT compliance restored.
Resolve Partners,South - Bangalore,45,30,66.7,6.2,4.2,67.7,24,3,Yes,A,2025-12-31,Bangalore sub-office Q4 FY25. Tech park corridor accounts performing well.
Resolve Partners,North - Delhi,52,35,67.3,7.8,5.2,66.7,25,4,Yes,A,2025-12-31,Delhi sub-office Q4 FY25. Good synergy with Pinnacle for NCR coverage.
National Recovery Services,Central - Bhopal,35,20,57.1,3.8,2.1,55.3,33,5,Yes,B+,2025-09-30,Central region expansion. New office in Bhopal. Building team for MP coverage.
ABC Collections,West - Pune,48,32,66.7,5.8,3.9,67.2,24,3,Yes,A,2025-06-30,Pune sub-office FY25. Good coordination with FirstCall for western Maharashtra.
XYZ Recovery,South - Hyderabad,42,24,57.1,5.2,2.8,53.8,34,8,Yes,B+,2025-03-31,Hyderabad pilot Q4 FY25. New market entry. Performance as expected for initial phase.
Pinnacle Recovery,North - Chandigarh,38,25,65.8,4.5,3.0,66.7,26,3,Yes,A,2025-12-31,Punjab and Haryana coverage. Military and government borrower segment well-handled.
Premium Collections,West - Mumbai,40,28,70.0,12.8,9.2,71.9,21,2,Yes,A+,2025-09-30,Mumbai HNI desk Q4 FY25. Handles high-value accounts with white-glove service.
Metro Collections,South - Chennai,32,18,56.3,3.8,2.0,52.6,35,7,Partial,B,2025-06-30,Chennai expansion Q4 FY25. Building local presence. Initial phase underperformance expected.
Delta Associates,South - Bangalore,55,32,58.2,6.4,3.5,54.7,33,10,Partial,B,2025-03-31,Bangalore office FY25. CSAT issues persist in aggressive follow-up style. Retraining mandated.
