product_id,category,product_name,target_segment,rate_range_pct,processing_fee_pct,max_amount_lakhs,max_tenure_years,min_credit_score,key_eligibility,usp_1,usp_2,usp_3,cross_sell_with,typical_objection,counter_response
P023,Secured,Home Loan â€” Self-Construction,Individual plot owners,8.75-9.75,0.5,500,25,680,Owns plot with clear title; approved building plan from local authority,Stage-wise disbursement aligned to construction milestones â€” no pre-EMI waste,In-house technical team monitors construction quality at each stage,Combined plot + construction single loan; no separate applications,Life Insurance + Home Insurance + Interior Loan (PL),SBI self-construction 8.4%,Dedicated construction monitoring + single loan for plot + build + interiors; SBI needs 3 separate applications
P024,Unsecured,Personal Loan â€” Pre-Approved (Xpress),Existing HDFC salary account holders,10.50-13.00,Nil,25,5,700 (auto-checked),Salary account with 6+ months credit history; pre-approved through internal scoring,10-second approval via mobile app; no documents needed,Disbursement in 30 minutes to salary account,Zero processing fee; no physical branch visit required,Credit Card upgrade + Insurance + Investment,Bajaj instant PL 12.5%,Our rate is 2% lower than Bajaj for existing salary customers; zero processing; salary deduction EMI = no bounce risk
P025,Unsecured,Personal Loan â€” Top-Up,Existing PL customers with clean track,10.50-14.00,Nil,15 (additional),Remaining original tenure,700,Minimum 6 months clean repayment on existing PL,No fresh documentation; approval in 2 hours,Same or better rate than original PL,Combined EMI with existing PL for convenience,Credit Card + Insurance,ICICI top-up at 12%,Instant approval + no docs + combined EMI; ICICI requires fresh documentation for top-up
P026,Vehicle Finance,Auto Loan â€” Electric Vehicle,EV buyers (personal),7.50-11.00,Nil,60,7,700,Valid DL; vehicle from approved EV manufacturer; min income â‚¹3L/year,50bps below standard auto loan rate as green mobility incentive,Partnerships with Tata EV + MG + Hyundai Kona + BYD for instant approval,Extended warranty financing available along with loan,Green Insurance + CASA + Credit Card,SBI Green Car Loan 7.5%,Our EV partnerships offer showroom delivery + instant sanction; SBI EV loan still requires branch visit
P027,Vehicle Finance,Auto Loan â€” Used Car,Used car buyers,9.50-15.00,1.0,50,5,720,Vehicle not older than 5 years; certified valuation mandatory; comprehensive inspection,Both private seller and dealer financing; partner with Cars24 + Spinny + OLX Autos,70-80% financing on assessed value; includes transfer charges in loan,Digital vehicle history check via Vahaan portal integrated in app,Motor Insurance + Personal Loan + Credit Card,ICICI used car 10%,Wider vehicle age acceptance (5 vs 3 years ICICI); partner with certified used car platforms; inspection at your doorstep
P028,Vehicle Finance,Two-Wheeler Loan,Salaried & Self-employed,12.00-18.00,1.0-2.0,5,4,680,Min income â‚¹15K/month; valid DL; vehicle from authorized dealer,Instant approval at 3000+ two-wheeler dealers across India,Zero down-payment options for select models (Hero/Honda/TVS/Bajaj),Festival season offers with rate as low as 0% (brand subvention),Personal Loan + Credit Card + Insurance,Bajaj Auto Finance 0% EMI,Our two-wheeler loan covers all brands including premium (RE/KTM/Triumph); Bajaj only covers Bajaj-KTM
P029,Vehicle Finance,Electric Two-Wheeler Loan,EV 2W buyers,9.00-14.00,Nil,3,4,NA (for Ather/Ola app users),Valid DL; vehicle from approved EV 2W manufacturer,Zero processing fee + 100bps lower than standard 2W rate,Direct integration with Ather + Ola Electric + TVS iQube sales portals,Battery warranty assurance program covering degradation risk,Personal Loan + Insurance + CASA,Bajaj Finance EV 2W,Bank loan credibility vs NBFC; insurance bundling advantage; battery coverage unique to HDFC
P030,Secured,Gold Loan,Individuals with gold jewelry,9.50-16.00,0.5-1.0,75 (per KG),3,NA (secured by gold),Minimum 18-carat gold; valuation by in-house goldsmith; minimum 10 grams,Instant disbursement within 30 minutes of gold assessment at branch,Secure vault storage with insurance coverage; gold returned within 1 hour of closure,Flexible repayment: interest-only monthly with bullet principal; or standard EMI,Personal Loan + CASA + Credit Card,Muthoot Finance 10%,Lower rate + bank safety for gold vs NBFC; digital renewal; gold insurance included; 1-hour gold return
P031,Secured,Overdraft Against FD,FD holders needing liquidity,FD rate + 1-2%,Nil,95% of FD value,FD tenure,NA,Active FD with HDFC Bank; minimum FD value â‚¹25K,Instant OD sanction â€” available within 5 minutes on net banking,Pay interest only on utilized amount; no impact on FD interest earnings,No documents needed; fully digital activation and utilization,FD renewal + Credit Card + Investment,SBI OD against FD at FD+1%,Instant digital activation vs SBI branch visit; no separate loan processing; FD interest continues earning
P032,Unsecured,Working Capital (Cash Credit),SME & MSME entities,10.50-14.50,0.5-1.0,200,12 (renewable),680,Min 2 years business vintage; min turnover â‚¹25L/year; GST registered,Drawing power linked to stock + debtors; pay interest only on utilized amount,GST-integrated assessment â€” faster sanctioning for compliant businesses,Digital dashboard for DP monitoring and utilization tracking,Business Loan + Corporate CC + Merchant POS + Current Account,SBI CC at 10%,Digital DP tracking + faster annual renewal; SBI takes 30 days for annual review vs our 10 days
P033,Secured,Working Capital (Cash Credit against Property),SME with commercial property,9.50-12.00,0.5,500,15 (renewable),700,Clear property title; min property value â‚¹25L; min 3 years business vintage,Higher limit than unsecured CC; property provides security for competitive rate,Combined CC + LAP assessment â€” single process for both facilities,Annual review simplified for repeat customers with clean track,Business Loan top-up + Corporate CC + CASA,ICICI CC 10.5%,Lower rate due to property security + higher limits; combined assessment saves time
P034,Trade,Letter of Credit (LC),Importers / Exporters,0.10-0.25% per quarter,â‚¹500-1500 flat,No cap,6 months (renewable),NA,Import/export license; current account with HDFC; min 1 year trade history,Direct correspondent relationships with 500+ global banks for faster LC confirmation,Digital LC issuance and amendment on trade portal; SWIFT integration,Multi-currency LC with competitive forex rates; linked to CC/OD for margin,Forex + Current Account + Business Loan + PG (for exporters),SBI LC at 0.08%,Digital portal reduces LC processing from 3 days to same-day; global banking relationships = faster confirmation
P035,Trade,Bank Guarantee (BG),Contractors / Corporates,0.50-2.50% per annum,0.10-0.25%,No cap,3 years,NA,Min 2 years business vintage; acceptable collateral (FD/property/cash margin),100% cash margin BG processed within 24 hours; partial margin BG in 5 days,Pan-India claim handling through centralized BG management team,Digital BG issuance and amendment; automated renewal reminders,LAP + Business Loan + Current Account + Corporate CC,SBI BG at 0.40%,Same-day issuance for cash margin BG; digital tracking portal; centralized claim handling vs SBI branch-level management
P036,Forex,Forex Services & Remittances,NRIs / Travelers / Corporates,Competitive exchange rates,â‚¹100-500 per txn,No cap,NA,NA,Valid passport + travel documents (individuals); FEMA compliance (corporates),Best rates guaranteed for NRI remittances >$5000; price lock for 48 hours,24/7 forex desk for corporate hedging and treasury management,Travel forex card with zero cross-currency charges and live rate tracking,NRE/NRO FD + Home Loan NRI + Credit Card + Insurance,UAE Exchange/Western Union,Bank channel remittance vs money transfer; regulatory compliance; higher limits; linked to banking relationship
P037,Liabilities,NRE Fixed Deposit,Non-Resident Indians,6.50-7.50,Nil,No cap,1-10 years,NA,NRE account with HDFC Bank; funds remitted from abroad,Tax-free interest on NRE FD â€” no TDS or income tax in India,Fully repatriable â€” principal + interest can be taken back to country of residence,Online FD booking from anywhere in the world; auto-sweep with NRE savings,Home Loan NRI + Forex + Credit Card + Life Insurance,SBI NRE FD at 6.5%,Same rate as SBI + better digital banking + loan linkage + global NRI service centers
P038,Liabilities,Senior Citizen Fixed Deposit,Individuals aged 60+,7.00-8.00 (50bps premium),Nil,No cap,7 days-10 years,NA,Age 60+ (super senior 80+ gets additional 25bps); valid KYC,50bps additional over regular FD rate; quarterly interest payout option,Priority service at branches with dedicated senior citizen counter,Health insurance cross-sell at discounted group rates,Health Insurance + Senior Citizen Savings Scheme + Will Services,SBI Senior FD at 7.5%,Same rate + better service + health insurance bundle + digital banking tutorials for seniors
P039,Liabilities,Tax Saver Fixed Deposit,Tax-planning individuals,6.50-7.00,Nil,1.5L per year,5 years (lock-in),NA,Valid PAN; declaration under Section 80C,â‚¹1.5L annual deduction under Section 80C; simple alternative to ELSS for risk-averse,No market risk unlike ELSS mutual funds; guaranteed returns,Online booking with instant 80C certificate generation,ELSS MF + Insurance + PPF + NPS,SBI Tax Saver FD at 6.5%,Same rate + instant certificate + digital process; most people already have HDFC account for salary
P040,Liabilities,Recurring Deposit,Salaried / Students / Small savers,5.50-7.00,Nil,No cap per installment,6 months-10 years,NA,Active savings/salary account with HDFC Bank; min â‚¹1000/month,Disciplined savings habit with FD-like returns; SIP alternative for risk-averse,Flexible RD with penalty-free partial withdrawal after 12 months,Auto-debit from salary account on specific date; digital setup in 2 minutes,FD (on maturity) + Insurance + Mutual Fund SIP,Kotak RD at same rate,Our flexible RD allows partial withdrawal; linked to salary account for auto-debit; maturity auto-creates FD
P041,Liabilities,PPF Account,Long-term savers,7.10 (government set),Nil,1.5L per year,15 years,NA,Indian resident; valid PAN; one PPF per person,EEE tax benefit â€” exempt at investment + accrual + maturity,Government guaranteed returns; sovereign safety,Digital PPF with online contributions and balance tracking,NPS + ELSS + Insurance + Tax Saver FD,SBI PPF (same rate),Same rate (government product) â€” choose HDFC for digital convenience + salary linkage + single banking view
P042,Payments,Debit Card (EasyShop),Savings account holders,NA,Nil,Daily ATM â‚¹1L / POS â‚¹2L,NA,NA,Active HDFC Bank savings/salary account,Contactless debit card with tap-and-pay for transactions up to â‚¹5000,International usage enabled/disabled via app toggle for security,Daily limit customization through mobile app; instant card block/unblock,Credit Card upgrade + Insurance + Investments,SBI debit card (RuPay),Our debit card comes with reward points + international capability; app-based controls for security
P043,Insurance,Credit Protect (Life Insurance),Home Loan / LAP borrowers,0.30-0.50% of loan amount,Nil,Covers outstanding principal,Loan tenure,NA,Active home loan or LAP with HDFC Bank; age 21-65 at entry,Premium can be financed as part of loan amount; no separate payment,Coverage reduces annually in line with outstanding principal â€” efficient pricing,Spouse co-borrower coverage at 25% additional premium,CASA + Credit Card + Health Insurance,LIC term plan at lower premium,Our premium is financed in loan (no cash outflow); coverage exactly matches outstanding; no over/under insurance
P044,Insurance,Motor Insurance (HDFC ERGO),Auto / CV / Two-Wheeler loan customers,2.5-4.0% of IDV,Nil,IDV of vehicle,1 year (renewable),NA,Active vehicle loan with HDFC Bank or any vehicle owner,15-20% group discount on premium for HDFC Bank customers,Cashless claim at 5000+ network garages across India,One-click renewal via HDFC Bank app with NCB (No Claim Bonus) carry-forward,Auto Loan + PA Cover + Credit Card,ICICI Lombard at similar premium,Cashless at 5000+ garages (ICICI: 4200); NCB protection add-on; integrated with bank app for renewal reminder
P045,Insurance,Health Insurance (Star Health via ABCP),Salary account holders / Individuals,â‚¹5000-25000/year,Nil,â‚¹5L-â‚¹1Cr sum insured,1 year (renewable),NA,Age 18-65; valid KYC; health declaration,Group discount for HDFC salary account holders (10-15% lower premium),Pre-approved offers based on salary account data â€” no medical test up to â‚¹10L SI,One-click purchase on HDFC mobile app with instant policy issuance,CASA + Credit Card + Personal Loan + Home Loan,Company group insurance already covers,Supplement employer cover with personal top-up; cover continues even after job change; family floater covers dependents
P046,Liabilities,Corporate Current Account â€” Premium,Mid-corporates (â‚¹10L+ AMB),NA,Nil (with AMB â‚¹10L+),No cap,NA,NA,Business registration; min turnover â‚¹50L/year; KYC of authorized signatories,Free POS terminal + free demand drafts + free RTGS/NEFT,Cash management services with pick-up and pooling across locations,Integrated business dashboard with real-time balance + FD sweep,Business Loan + Corporate CC + Merchant POS + Trade Services,ICICI Current Account,Free POS + cash management + integrated dashboard; ICICI charges â‚¹500/month for terminal
P047,Liabilities,Startup Current Account,Newly registered startups,NA,Nil (zero balance for 12 months),No cap,NA,NA,Startup registered with DPIIT; incorporation certificate; â‰¤3 years old,Zero-balance for first 12 months; dedicated startup banking RM,Partnership with incubators and VCs for startup ecosystem support,Integrated with accounting software (Zoho/Tally); business credit card from Day 1,Business Loan + PG (payment gateway) + Startup CC + Insurance,Kotak 811 business,Zero-balance + RM + accounting integration; Kotak charges â‚¹10K AMB after 6 months
P048,Digital,UPI Autopay / Recurring Mandates,Digital businesses / Subscription companies,0.00% (UPI),Setup fee â‚¹500,NA,NA,NA,Valid business with UPI-enabled collection,RBI-compliant e-mandate registration with pre-debit notification,Automated retry for failed mandates with configurable attempt schedule,Dashboard for mandate lifecycle management (create/pause/revoke),Payment Gateway + Current Account + Business Loan,Razorpay subscription,Bank-grade mandate success rate (95% vs 88% Razorpay); direct bank processing vs aggregator relay
P049,Secured,Lease Rental Discounting (LRD),Commercial property owners with rental income,8.50-10.50,0.5-1.0,70% of property value,Lease tenure or 15 years (lower),700,Leased commercial property with minimum 5-year lease; reputed tenant (MNC/PSU preferred),Loan against future rental income â€” no impact on personal cash flow,Higher LTV (70%) for properties with blue-chip tenants (rated AA and above),Escrow-based rental routing ensures automatic EMI recovery from tenant rent,LAP top-up + Insurance + Current Account + FD,ICICI LRD at 9.0%,Higher LTV for same tenant quality; escrow routing for auto-recovery; flexible prepayment from tenant premature exit
P050,Unsecured,Doctor / Professional Loan,Doctors / CAs / Architects / Lawyers,10.00-14.00,1.0,100,7,700 (or professional proof),Minimum 3 years in practice; valid registration with professional body,Simplified income assessment â€” professional certificate + bank statement (no ITR needed for <â‚¹25L),Doorstep service for clinic/office documentation; flexi-repayment option,Higher amount than PL (up to â‚¹1 Cr) without collateral for established professionals,LAP + POS (for clinic) + Credit Card + Insurance,Bajaj Doctor Loan 12%,Lower rate + higher amount + no ITR required; Bajaj caps at â‚¹40L and needs 2 years ITR
P051,Secured,Machinery / Plant Loan,Manufacturing SMEs,9.50-13.00,1.0-2.0,500,10,680,Min 3 years manufacturing vintage; valid factory license; equipment serves as security,All types of industrial machinery â€” CNC + injection molding + packaging + textile + food processing,Tie-ups with equipment OEMs (Siemens/ABB/Fanuc) for dealer-level financing,GST refund bridge financing while waiting for input credit,Business Loan + Working Capital + Corporate CC + LAP (factory),SBI MSME equipment 9.5%,Faster processing (10 days vs SBI 25 days); OEM partnership pricing; multi-product relationship
P052,Digital,SmartHub Merchant Solutions (Android POS),Retail merchants with billing needs,MDR-based,Nil (for CA holders),NA,NA,NA,Valid business; physical retail location; HDFC Bank current account (preferred),Android POS with built-in billing + inventory + GST; replaces separate billing software,Merchant lending based on POS transaction data â€” pre-approved offers,EMI conversion on POS for customer purchases above â‚¹2500,Business Loan + Current Account + Corporate CC + Personal Loan,Paytm All-in-One POS,Our Android POS has merchant lending + billing + inventory vs Paytm's payment-only terminal; banking integration advantage
P053,Digital,Payment Link & Invoice Solution,Service businesses / Freelancers,1.5-2.0% per txn,Nil,NA,NA,NA,Valid business registration or professional registration; bank account,Generate shareable payment links via WhatsApp/email/SMS â€” no website needed,Invoice generation with automatic payment tracking and reconciliation,No technical integration needed â€” fully self-service dashboard,Current Account + Business Loan + Personal Loan + CC,Razorpay Payment Links,Our payment links connect to bank lending (pre-approved BL based on collection data); Razorpay is payment-only
P054,Liabilities,Salary Advance / Earned Wage Access,Frontline employees via corporate programs,Processing fee â‚¹5-15,NA,50% of earned wages,Until next payday,NA,Company enrolled in HDFC salary program; employee attendance data shared via API,Access earned salary before payday â€” funds in 60 seconds on prepaid card or salary account,Zero credit risk (deducted from next salary); no impact on credit score,Mobile app or USSD-based request for non-smartphone users,Savings Account + Credit Card + Personal Loan + Insurance,fintech EWA providers (Refyne/Jify),Bank-grade safety + zero credit impact + USSD for non-smartphone users; fintech EWA charges 1-2% vs our flat â‚¹5-15
P055,Payments,HDFC Bank SmartPay (BBPS Agent),Utility bill collection agents / Businesses,Commission per transaction,Nil setup,NA,NA,NA,Valid business entity; BBPS agent registration through HDFC Bank,Accept utility bills (electricity/gas/water/DTH/broadband/insurance) and earn commission per transaction,Customer convenience drives footfall â€” bill payment customers convert to banking customers,White-labeled bill payment portal for businesses to embed in their customer journey,Current Account + POS + Business Loan + Personal Loan,Paytm/PhonePe BBPS,Commission earning + customer footfall + data for lending vs Paytm's consumer-only model; agent model creates physical touchpoint
