Alert_ID,Type,Indicator,Application_ID,Applicant,Branch,Amount_At_Risk_INR,Detection_Source,Detection_Date,Status,Investigation_Owner,Findings,Action_Taken
FA/2025/013,Benami Property,Property in third-party name,HL/WR/2025/01390,Suspect M,Vashi,18000000,Legal Team Flag,2025-02-01,Under Investigation,Legal + Fraud Team,Property registered in name of domestic help. Actual beneficiary is PEP under investigation by ED.,Application rejected. STR filed with FIU-IND. ED informed.
FA/2025/014,Income Fraud,Inflated bank statements,HL/SR/2025/01401,Suspect N,Koramangala,5600000,System Auto-check,2025-02-03,Confirmed Fraud,Fraud Team South,Bank statement credits show circular transactions. Salary credits reversed within 48 hours each month.,Application rejected. Source bank informed. CIBIL updated.
FA/2025/015,Property Fraud,Encumbered property not disclosed,HL/WR/2025/01512,Suspect O,Kothrud,9200000,Legal Team Flag,2025-02-05,Under Investigation,Legal + Fraud Team,Property has pending litigation in civil court. EC report was clean but court records show active suit.,Legal investigation ongoing. Disbursement held. Customer asked for explanation.
FA/2025/016,Valuation Fraud,Collusion with valuer,HL/NR/2025/01623,Suspect P,Gurgaon,25000000,Second Valuation,2025-02-07,Confirmed Fraud,Fraud Team North,Panel valuer consistently over-valued 12 properties in same locality by 40-60%. Commission traced to borrowers.,Valuer de-empaneled and blacklisted. All 12 cases re-valued. 3 cases referred to police.
FA/2025/017,Identity Fraud,Stolen identity used for application,HL/ER/2025/01734,Suspect Q,Park Street,4100000,Customer Tip,2025-02-09,Confirmed Fraud,Fraud Team East,Actual identity holder approached branch after receiving sanction letter. Applicant is impersonator.,FIR lodged by actual identity holder. Application cancelled. Forensic investigation of KYC documents.
FA/2025/018,Document Forgery,Forged ITR and Form 16,HL/WR/2025/01845,Suspect R,Bandra,7800000,System Auto-check,2025-02-11,Under Investigation,Fraud Team West,ITR acknowledgment number format invalid for AY 2024-25. Form 16 TAN of employer not registered with TRACES.,Application suspended. Employer and IT Department verification initiated.
FA/2025/019,Syndicate Fraud,Organized DSA-borrower ring,HL/SR/2025/01956,Suspect S,Anna Nagar,35000000,Fraud Analytics Engine,2025-02-13,Escalated to Police,Fraud Team South,DSA sourced 15 applications with fabricated income proofs from non-existent companies. Pattern detected by ML model.,DSA terminated and blacklisted. All 15 applications rejected. Police FIR filed. Industry alert issued.
FA/2025/020,Employment Fraud,Employment verification failure,HL/WR/2025/02067,Suspect T,Powai,4300000,Background Check,2025-02-15,False Positive,Fraud Team West,Initial verification failed due to company name change post-merger. Applicant provided updated documentation.,Application resumed after verified documentation. Process cleared.
FA/2025/021,Builder Fraud,Diversion of buyer funds,HL/WR/2025/02178,Suspect U,Malad,55000000,RBI/NHB Alert,2025-02-17,Escalated to Police,Legal + Fraud Team,Builder diverted construction-linked disbursements to unrelated land purchases. Escrow monitoring bypassed.,All disbursements to builder frozen. RERA and police complaints filed. 28 affected borrowers notified.
FA/2025/022,Internal Fraud,Document tampering in file,HL/NR/2025/02289,Suspect V,Dwarka,8900000,Branch Verification,2025-02-19,Confirmed Fraud,Internal Audit + Vigilance,Processing officer replaced property valuation report in physical file with a higher-value report post-sanction.,Employee terminated. Vigilance case initiated. Original valuation restored. CBI referral recommended.
FA/2025/023,Income Fraud,Fictitious rental income,HL/SR/2025/02390,Suspect W,Jubilee Hills,6700000,System Auto-check,2025-02-21,Under Investigation,Fraud Team South,Rental income shown from property not owned by applicant. Rent agreement is fabricated. Property belongs to unrelated party.,Application on hold. Property ownership verification through sub-registrar records.
FA/2025/024,Loan Stacking,Top-up loan fraud across lenders,HL/WR/2025/02401,Suspect X,Thane,12500000,Cross-bank Intelligence,2025-02-23,Under Investigation,Fraud Team West,Customer obtained top-up loans from 3 lenders on same property within 6 months. Total leverage exceeds 120% LTV.,All lenders informed. Joint investigation proposed. Fresh valuation ordered.
FA/2025/025,Benami Property,Shell company ownership,HL/NR/2025/02512,Suspect Y,Connaught Place,32000000,Background Check,2025-02-25,Under Investigation,Legal + Fraud Team,Property owning company has 3 layers of shell companies. Ultimate beneficiary cannot be established. ED lookout notice exists.,Application rejected. STR filed with FIU-IND. Corporate affairs ministry informed.
FA/2025/026,Property Fraud,Forged encumbrance certificate,HL/SR/2025/02623,Suspect Z,OMR Chennai,11000000,Legal Team Flag,2025-02-27,Confirmed Fraud,Legal + Fraud Team,EC certificate serial number verified as fake with sub-registrar office. Property has 2 existing charges.,Application rejected. FIR filed. Sub-registrar office alerted about fake EC circulation.
FA/2025/027,Insurance Fraud,Inflated insurance claim,HL/WR/2025/02734,Suspect AA,Andheri West,3400000,System Auto-check,2025-03-01,Under Investigation,Fraud Team West,Home insurance claim filed 3 days after policy inception for pre-existing structural damage. Damage photos predate policy.,Claim flagged to insurer. Joint investigation with insurance company initiated.
FA/2025/028,Identity Fraud,Synthetic identity created,HL/NR/2025/02845,Suspect BB,Greater Kailash,5200000,Fraud Analytics Engine,2025-03-03,Under Investigation,Fraud Team North,Aadhaar and PAN combination has no credit history but shows high income. Address is a commercial establishment. Possible synthetic identity.,Application suspended. UIDAI verification requested. In-person verification ordered.
FA/2025/029,Document Forgery,Forged NOC from existing lender,HL/WR/2025/02956,Suspect CC,Prabhadevi,14000000,Branch Verification,2025-03-05,Confirmed Fraud,Fraud Team West,NOC from previous lender is forged. Existing loan still active with outstanding balance of 89L.,Application rejected. Previous lender notified. CIBIL updated. Police complaint filed.
FA/2025/030,Valuation Fraud,Land classification misrepresentation,HL/SR/2025/03067,Suspect DD,Whitefield,19000000,Legal Team Flag,2025-03-07,Under Investigation,Legal + Fraud Team,Agricultural land shown as residential conversion complete. Revenue records show conversion application still pending.,Disbursement halted. Revenue department verification in progress. Valuer show-caused.
FA/2025/031,Employment Fraud,Inflated designation and salary,HL/ER/2025/03178,Suspect EE,Sector V Salt Lake,2900000,Background Check,2025-03-09,False Positive,Fraud Team East,LinkedIn profile showed lower designation. Company confirmed recent promotion and salary revision matching application.,Application cleared after employer confirmation. Case closed.
FA/2025/032,Syndicate Fraud,Builder-valuer-DSA nexus,HL/WR/2025/03289,Suspect FF,Kalyan,42000000,Whistleblower,2025-03-11,Escalated to Police,Fraud Team West,Builder colluding with panel valuer and DSA to inflate values of substandard construction by 35-45% across 20 units.,Valuer and DSA terminated. Builder blacklisted. Police complaint. RERA authority informed. All 20 loans under review.
FA/2025/033,Internal Fraud,KYC document substitution,HL/SR/2025/03390,Suspect GG,T Nagar,3600000,Branch Verification,2025-03-13,Confirmed Fraud,Internal Audit + Vigilance,Branch operations staff substituted verified KYC documents with unverified copies for 6 accounts. Original documents missing.,Employee suspended. Forensic audit of all files handled by employee. Fresh KYC for affected accounts.
FA/2025/034,Income Fraud,Fake GST returns for self-employed,HL/WR/2025/03401,Suspect HH,Baner,8100000,System Auto-check,2025-03-15,Under Investigation,Fraud Team West,GST return filing pattern shows nil returns for 3 years then sudden high turnover. GSTN portal cross-check shows discrepancy.,Application suspended. GST department verification sought. CA who certified returns being contacted.
FA/2025/035,Builder Fraud,Project without requisite approvals,HL/NR/2025/03512,Suspect II,Noida Extension,28000000,RBI/NHB Alert,2025-03-17,Under Investigation,Legal + Fraud Team,Builder marketing project without environment clearance and fire NOC. Building plan approval obtained through forged documents.,Disbursements stopped for project. 15 existing borrowers notified. RERA complaint filed. Noida Authority informed.
FA/2025/036,Benami Property,Property purchased through relatives,HL/WR/2025/03623,Suspect JJ,Goregaon,7500000,Social Media Check,2025-03-19,Under Investigation,Fraud Team West,Social media posts show applicant residing in a different property he claims to not own. Property trail shows purchase through spouse's relative.,Additional property verification initiated. Applicant asked to disclose all owned properties.
FA/2025/037,Loan Stacking,Concurrent personal and home loan,HL/SR/2025/03734,Suspect KK,MG Road Bangalore,9800000,CIBIL Alert,2025-03-21,Closed - No Fraud,Fraud Team South,CIBIL showed personal loan taken same month as HL application. Verified as home furnishing loan with clear purpose and adequate income.,Case closed after income adequacy reassessment. Combined DTI within norms.
FA/2025/038,Property Fraud,Unauthorized construction,HL/NR/2025/03845,Suspect LL,Vaishali Ghaziabad,6300000,Second Valuation,2025-03-23,Under Investigation,Legal + Fraud Team,Property has unauthorized 3rd floor not in approved building plan. Occupancy certificate covers only 2 floors.,Application for 3rd floor unit rejected. Builder asked to regularize or demolish. Existing borrowers in legal units notified.
FA/2025/039,Document Forgery,Fake CIBIL report submitted,HL/ER/2025/03956,Suspect MM,Bhubaneswar,4400000,System Auto-check,2025-03-25,Confirmed Fraud,Fraud Team East,Customer submitted printed CIBIL report showing 780 score. System pull reveals actual score of 520 with 3 overdue accounts.,Application rejected. Customer blacklisted. CIBIL alerted about fake report template circulating.
FA/2025/040,Identity Fraud,Multiple PAN cards,HL/WR/2025/04067,Suspect NN,Dadar,5800000,System Auto-check,2025-03-27,Under Investigation,Fraud Team West,Applicant has 2 active PAN cards linked to same Aadhaar. Second PAN used for a loan with another lender. Possible identity splitting.,Application on hold. IT Department notified for PAN deduplication. Second lender informed.
FA/2025/041,Valuation Fraud,False comparable sales data,HL/SR/2025/04178,Suspect OO,Sarjapur Road,16000000,Fraud Analytics Engine,2025-03-29,Under Investigation,Fraud Team South,Valuer cited 5 comparable transactions. 3 are found to be at prices 30% higher than actual registration values. Possible data fabrication.,Valuer show-caused. Independent verification of all cited comparables. Re-valuation ordered from different panel.
FA/2025/042,Employment Fraud,Company created for loan purpose,HL/NR/2025/04289,Suspect PP,Rohini,3100000,Background Check,2025-03-31,Confirmed Fraud,Fraud Team North,Company incorporated 4 months before loan application. No employees other than applicant. No business activity on GST portal.,Application rejected. Company flagged as shell entity. ROC informed. CIBIL updated.
FA/2025/043,Insurance Fraud,Duplicate insurance claim,HL/WR/2025/04390,Suspect QQ,Mulund,4700000,System Auto-check,2025-04-02,Under Investigation,Fraud Team West,Same property damage claimed from 2 different insurers. Claim amounts total 150% of property value.,Both insurers informed. Joint investigation initiated. Application processing paused.
FA/2025/044,Internal Fraud,Loan sanctioned post customer death,HL/SR/2025/04401,Suspect RR,Guindy,7200000,Customer Tip,2025-04-04,Confirmed Fraud,Internal Audit + Vigilance,Loan disbursed 15 days after borrower death. Death certificate predates disbursement. Branch staff colluded with family.,Employee terminated and FIR filed. Loan recalled from legal heirs. Recovery proceedings initiated.
FA/2025/045,Syndicate Fraud,Cross-state fraud network,HL/WR/2025/04512,Suspect SS,Navi Mumbai,65000000,Fraud Analytics Engine,2025-04-06,Escalated to Police,Fraud Team West,AI model detected 22 applications across MH-KA-TN with common phone IMEI numbers and overlapping references. Organized multi-state operation.,Inter-state police coordination. All applications frozen. CBI referral. Industry-wide alert through IBA.
FA/2025/046,Builder Fraud,RERA registration forged,HL/NR/2025/04623,Suspect TT,Faridabad,18000000,RBI/NHB Alert,2025-04-08,Confirmed Fraud,Legal + Fraud Team,RERA registration number is fabricated. Verified with Haryana RERA authority - no such registration exists.,All disbursements stopped. 10 affected borrowers informed. Builder reported to police and RERA authority.
FA/2025/047,Income Fraud,Circular cash flow to inflate turnover,HL/WR/2025/04734,Suspect UU,Sion,5100000,Fraud Analytics Engine,2025-04-10,Under Investigation,Fraud Team West,Bank statement analysis reveals circular transactions between 3 related accounts to inflate monthly credits. Pattern detected by transaction monitoring AI.,Application suspended. All 3 related accounts flagged. STR filed for potential layering.
FA/2025/048,Document Forgery,Forged college degree for eligibility,HL/NR/2025/04845,Suspect VV,Lajpat Nagar,2600000,Background Check,2025-04-12,Confirmed Fraud,Fraud Team North,Degree certificate from university not in UGC recognized list. University verification returned negative - no such student enrolled.,Application rejected. Customer blacklisted. University informed about misuse of name.
FA/2025/049,Benami Property,Trust structure to hide ownership,HL/WR/2025/04956,Suspect WW,Lower Parel,28000000,Legal Team Flag,2025-04-14,Under Investigation,Legal + Fraud Team,Property held by private trust with opaque beneficiary structure. Trust deed restricts disclosure. Actual beneficiary suspected to be banned entity.,Application rejected. Benami Transactions Prohibition Unit informed. Trust structure under regulatory examination.
FA/2025/050,Property Fraud,Government land encroachment,HL/SR/2025/05067,Suspect XX,Electronic City,9500000,Legal Team Flag,2025-04-16,Confirmed Fraud,Legal + Fraud Team,50% of plot area falls on government survey land. Builder obtained patta through forged revenue records.,Application rejected. Revenue department informed. Builder blacklisted. Existing 5 loans under review for recovery.
FA/2025/051,Loan Stacking,Gold loan proceeds used as down payment,HL/ER/2025/05178,Suspect YY,Howrah,3700000,Cross-bank Intelligence,2025-04-18,Under Investigation,Fraud Team East,Customer took gold loan of 15L from NBFC 2 days before paying home loan down payment. Down payment source misrepresented as savings.,Additional source verification in progress. Gold loan lender contacted for confirmation.
FA/2025/052,Valuation Fraud,Non-existent amenities in valuation report,HL/WR/2025/05289,Suspect ZZ,Hinjewadi,13500000,Customer Tip,2025-04-20,Recovered,Fraud Team West,Valuation report mentions swimming pool and clubhouse that do not exist. Photos in report are from a different project.,Valuer de-empaneled and reported. Fresh valuation done. LTV recalculated. Loan restructured at correct value.
