Finding_ID,Branch,Audit_Date,Area,Finding,Severity,Regulation_Reference,Recommendation,Management_Response,Owner,Due_Date,Status
AF/2025/030,Dwarka,2025-02-01,Privacy/Data Protection,"Customer consent forms for data sharing with third parties not obtained for 28 digital loan applications.",High,Data Protection Act / IT Act 2000,Mandatory digital consent capture in loan application workflow. Retrospective consent for existing cases.,Consent module added to digital journey. Retrospective campaign launched.,DPO / IT Head,2025-03-01,In Progress
AF/2025/031,Borivali,2025-02-01,Valuation Process,"Valuation reports for 6 properties do not contain mandatory photographs of all rooms and exteriors.",Low,Internal Valuation SOP,Valuation report template to mandate photo checklist. Auto-reject incomplete reports.,Valuer communication sent. Template updated.,Valuation Head,2025-02-28,Closed
AF/2025/032,Electronic City,2025-02-03,PMAY Processing,"Interest subsidy credit of INR 2.67L not passed to borrower account within 15 days of receipt from NHB.",High,PMAY-U Guidelines,Auto-credit mechanism for subsidy amounts. Daily reconciliation with NHB credits.,Credits passed within 48 hours. Reconciliation automated.,PMAY Cell Head,2025-02-15,Remediated
AF/2025/033,Kothrud,2025-02-03,Fair Practice Code,"Floating rate reset communication not sent to 156 borrowers when repo rate changed in October 2024.",Medium,RBI Fair Practice Code,Automated rate change notification via SMS and email triggered by repo rate change.,System notification module built. Retrospective communications sent.,Product Head,2025-02-28,Closed
AF/2025/034,Rajouri Garden,2025-02-05,DSA Supervision,"DSA found collecting processing fee directly from customers in 4 cases. Fee receipts not issued.",Critical,RBI DSA Guidelines / Fair Practice Code,Terminate non-compliant DSA immediately. Refund processing fees to affected customers.,DSA terminated. Customer refunds processed. FIR filed.,Sales Head,2025-02-10,Remediated
AF/2025/035,Alwarpet,2025-02-05,IT/Cyber Security,"Loan document repository accessible without role-based access control. Trainee IDs having full access.",High,RBI IT Governance Guidelines,Implement RBAC immediately. Quarterly access review for all LOS modules.,RBAC implementation completed. Access audit scheduled quarterly.,CISO,2025-02-20,Remediated
AF/2025/036,SG Highway,2025-02-07,Outsourcing Compliance,"Vendor due diligence not renewed for 3 BPO partners handling loan processing. SLA performance not monitored.,High,RBI Outsourcing Guidelines,Annual vendor due diligence mandatory. Monthly SLA review meetings with documented MoM.,Due diligence renewed for 2 vendors. Third under review.,Vendor Management Head,2025-03-01,In Progress
AF/2025/037,Panjim,2025-02-07,Grievance Redressal,"Internal ombudsman contact details not displayed in 8 branches as required post-merger.",Low,RBI Internal Ombudsman Scheme,Display updated ombudsman details in all branches and on website within 1 week.,Signage ordered. Website update done.,Customer Service Head,2025-02-15,Closed
AF/2025/038,Marathahalli,2025-02-10,KYC Compliance,"Beneficial ownership declaration not obtained for 12 loan applications from companies/trusts.",High,RBI KYC Master Direction 2016 / PMLA Rules,Mandatory beneficial ownership form in non-individual application pack. System-level block for incomplete KYC.,Form added to pack. System validation in next release.,Compliance Head,2025-03-01,In Progress
AF/2025/039,Vaishali Ghaziabad,2025-02-10,Record Retention,"Loan agreements stored in branch strong room found damaged due to water seepage. 34 files affected.",Medium,Internal Record Retention Policy,Immediate digitization of damaged files. Waterproofing of strong room. Insurance claim for damage.,Digitization underway. Facility team engaged for repairs.,Branch Admin,2025-03-15,In Progress
AF/2025/040,Kalyan,2025-02-12,Anti-Money Laundering,"Enhanced due diligence not performed for 3 PEP (Politically Exposed Person) linked loan accounts.",Critical,PMLA Act 2002 / RBI KYC Master Direction,Immediate EDD for identified PEP accounts. PEP screening to be integrated with onboarding flow.,EDD completed for 2 accounts. Third under review. PEP database subscription activated.,AML Compliance Officer,2025-02-20,In Progress
AF/2025/041,Hebbal,2025-02-12,RERA Compliance,"Construction-linked disbursement made without architect certificate for 2 projects. Stage verification bypassed.",High,RERA Act 2016 / NHB Disbursement Guidelines,Architect certificate mandatory before each stage release. System block for missing certificate.,System change implemented. Retrospective certificates obtained.,Credit Manager,2025-02-25,Remediated
AF/2025/042,Andheri East,2025-02-14,Interest Rate,"MCLR to EBLR transition not completed for 23 legacy accounts. Customers not given option as per RBI directive.",Medium,RBI EBLR Guidelines,Customer communication campaign for rate regime migration. System support for bulk transition.,Campaign launched. 15 of 23 migrated. Balance in progress.,Product Head,2025-03-15,In Progress
AF/2025/043,Yelahanka,2025-02-14,NACH/Mandate,"NACH mandate amount not updated post rate revision for 42 accounts. EMI bounce risk identified.",Medium,RBI ECS/NACH Guidelines,Auto-trigger NACH amendment on EMI change. Customer notification for mandate update.,Process being automated. Manual updates done for high-risk accounts.,Operations Head,2025-03-01,In Progress
AF/2025/044,Wakad,2025-02-16,Credit Assessment,"Debt-to-income ratio exceeding 60% in 7 cases without documented rationale in credit memo.",High,NHB Prudential Guidelines,DTI threshold alerts in LOS. Mandatory justification for DTI above 50%.,System alerts being configured. Retrospective memos prepared.,Credit Manager,2025-03-01,Pending
AF/2025/045,Model Town,2025-02-16,LTV Compliance,"Registration value used instead of market value for LTV calculation in 5 cases from Haryana.",Medium,RBI Housing Loan Guidelines,Use higher of registration or market value for LTV. Valuation to be independent of registration value.,Valuer advisory issued. LTV recalculated for flagged cases.,Valuation Head,2025-03-10,In Progress
AF/2025/046,Kozhikode,2025-02-18,Privacy/Data Protection,"Customer data shared with insurance partner without explicit opt-in consent in 15 cases.",High,Data Protection Act / IRDAI Guidelines,Explicit consent capture before data sharing with any third party including insurance partners.,Consent mechanism added to insurance referral flow.,DPO / IT Head,2025-03-01,In Progress
AF/2025/047,Malleswaram,2025-02-18,Document Filing,"Title search reports older than 6 months accepted at disbursement stage for 4 properties.",Medium,Internal SOP / NHB Guidelines,Title search validity capped at 3 months. Fresh title clearance before disbursement for older reports.,Process note updated. Fresh title search ordered for flagged cases.,Legal Team,2025-03-10,Closed
AF/2025/048,Greater Kailash,2025-02-20,NRI Documentation,"Overseas income documents not independently translated and certified for 3 NRI applicants.",Low,FEMA 1999 / RBI NRI Guidelines,Empaneled translator list to be maintained. Certified translation mandatory for non-English documents.,Translation arranged. Cost borne by bank as goodwill.,NRI Desk Head,2025-03-15,Closed
AF/2025/049,Aundh,2025-02-20,Fair Practice Code,"Pre-payment penalty charged on floating rate home loans in 7 cases in violation of RBI guidelines.",Critical,RBI Fair Practice Code / NHB Guidelines,Immediate refund of penalty charged. System to block prepayment penalty on floating rate HL.,Refunds processed for all 7 cases. System updated.,Product Head,2025-02-28,Remediated
AF/2025/050,Siruseri,2025-02-22,IT/Cyber Security,"API endpoint for loan status check found exposing customer PII without authentication in mobile app.",Critical,RBI Cyber Security Framework / IT Act,Immediate API patching. Security audit of all customer-facing APIs.,API patched within 4 hours. Full API audit scheduled.,CISO,2025-02-25,Remediated
AF/2025/051,Prahlad Nagar,2025-02-22,DSA Supervision,"5 DSA agents found to be simultaneously empaneled with competing HFCs without disclosure.",Medium,RBI DSA Guidelines / Internal Policy,Annual DSA exclusivity and multi-empanelment disclosure. Conflict of interest policy enforcement.,Show-cause notices issued. Policy updated requiring annual declaration.,Sales Head,2025-03-15,In Progress
AF/2025/052,Bellandur,2025-02-24,Outsourcing Compliance,"Outsourced data entry team processing loan documents without background verification completion.,High,RBI Outsourcing Guidelines / Data Protection Act,Background verification mandatory before system access. Vendor to provide police verification certificates.,Access revoked for unverified personnel. Verification in progress.,Vendor Management Head,2025-03-10,In Progress
